,Magnitude,Repute,Summary
Rs56244447(C;C),2.5,Bad,"CYP3A5*3D homozygote; nonexpressor for CYP3A5"
Rs28365085(C;C),2.5,Bad,"CYP3A5*3F homozygote; nonexpressor for CYP3A5"
Rs45593941(C;C),2.5,Bad,"CYP3A5*3F homozygote; nonexpressor for CYP3A5"
Rs41279857(T;T),2.5,Bad,"CYP3A5*S100Y homozygote; nonexpressor for CYP3A5"
Rs28383468(T;T),2.5,Bad,"CYP3A5*H30Y homozygote; nonexpressor for CYP3A5"
Rs28365083(A;C),2,,"carrier of one CYP3A5*2 allele"
Rs776746(A;G),2,,"carrier of 1 nonfunctional CYP3A5 allele; drug metabolism affects"
Rs10264272(C;T),0,,"carrier of a silent polymorphism in CYP3A5"
Rs41303343(-;T),2,,"carrier of one CYP3A5*7 allele"
Rs55817950(A;G),2,,"carrier of one CYP3A5*8 allele"
Rs28383479(A;G),2,,"carrier of one CYP3A5*9 allele"
Rs41279854(A;G),2,,"carrier of one CYP3A5*10 allele"
Rs72552791(A;G),2,,"carrier of one CYP3A5*11 allele"
Rs56244447(A;C),2,,"carrier of one CYP3A5*3D allele"
Rs28365085(C;T),2,,"carrier of one CYP3A5*3F allele"
Rs45593941(C;T),2,,"carrier of one CYP3A5*3F allele"
Rs41279857(G;T),2,,"carrier of one CYP3A5*S100Y allele"
Rs28383468(C;T),2,,"carrier of one CYP3A5*H30Y allele"
Rs56411402(C;T),2,,"carrier of one CYP3A5*4 allele"
Rs2070672(A;A),0,Good,normal
Rs4646976(A;A),0,Good,normal
Rs6413419(G;G),0,Good,normal
Rs915909(G;G),0,,
Rs2070676(C;C),0,Good,normal
Rs2031920(C;C),0,Good,normal
Rs6413420(G;G),0,Good,normal
Rs915909(C;C),0,Good,normal
Rs3813867(G;G),0,Good,normal
Rs2515641(C;C),0,Good,normal
Rs2070673(T;T),0,Good,normal
Rs1042580(A;A),0,Good,"common in clinvar"
Rs28935207(A;A),0,,
Rs28935208(T;T),0,,
Rs28935212(G;G),0,,
Rs28935213(C;C),0,,
Rs28936083(A;A),0,,
Rs28936968(T;T),0,,
Rs28936969(G;G),0,,
Rs28936970(C;C),0,,
Rs28937268(C;C),0,,
Rs28937269(A;A),0,,
Rs28937270(T;T),0,,
Rs28937274(T;T),0,,
Rs28937275(A;A),0,,
Rs28937276(G;G),0,,
Rs28937277(C;C),0,,
Rs28937279(G;G),0,,
Rs28937280(A;A),0,,
Rs28937281(A;A),0,,
Rs28937283(T;T),0,,
Rs28937290(G;G),0,,
Rs28937292(C;C),0,,
Rs28937293(C;C),0,,
Rs28937295(G;G),0,,
Rs28937296(G;G),0,,
Rs28937297(C;C),0,,
Rs28937298(C;C),0,,
Rs28937303(G;G),0,,
Rs28937304(C;C),0,,
Rs28937307(G;G),0,,
Rs28937308(A;A),0,,
Rs28935205(T;T),0,,
Rs28935206(T;T),0,,
Rs28935215(A;A),0,,
Rs28937273(T;T),0,,
Rs28937288(G;G),0,,
Rs28937305(G;G),0,,
Rs28937306(C;C),0,,
Rs28935214(C;C),0,,
Rs28937284(G;G),0,,
Rs28935207(C;C),3,,
Rs28935208(G;G),3,,
Rs28935212(T;T),3,,
Rs28935213(T;T),3,,
Rs28936083(G;G),3,,
Rs28936968(C;C),3,,
Rs28936969(A;A),3,,
Rs28936970(T;T),3,,
Rs28937268(T;T),3,,
Rs28937269(G;G),3,,
Rs28937270(C;C),3,,
Rs28937274(C;C),3,,
Rs28937275(G;G),3,,
Rs28937276(A;A),3,,
Rs28937277(T;T),3,,
Rs28937279(A;A),3,,
Rs28937280(G;G),3,,
Rs28937281(G;G),3,,
Rs28937283(C;C),3,,
Rs28937290(A;A),3,,
Rs28937292(A;A),3,,
Rs28937293(T;T),3,,
Rs28937296(T;T),3,,
Rs28937298(T;T),3,,
Rs28935214(T;T),3,,
Rs28937284(T;T),3,,
Rs28933668(T;T),5.5,Bad,"Hemophilia A (severity varies)"
Rs28937295(A;A),3,,
Rs28937297(T;T),3,,
Rs28937303(A;A),3,,
Rs28937304(T;T),3,,
Rs28937307(T;T),3,,
Rs28937308(G;G),3,,
Rs28935214(C;T),2.5,,
Rs28937284(G;T),2.5,,
Rs28933668(C;T),3.5,Bad,"Carrier of a Hemophilia A mutation"
Rs28933669(C;T),3.5,Bad,"Carrier of a Hemophilia A mutation"
Rs28933670(G;T),3.5,Bad,"Carrier of a Hemophilia A mutation"
Rs28933671(A;G),3.5,Bad,"Carrier of a Hemophilia A mutation"
Rs28933672(G;T),3.5,Bad,"Carrier of a Hemophilia A mutation"
Rs28933673(A;G),2.5,,
Rs28933674(A;G),3.5,Bad,"Carrier of a Hemophilia A mutation"
Rs28933675(C;T),3.5,Bad,"Carrier of a Hemophilia A mutation"
Rs28933676(A;C),3.5,Bad,"Carrier of a Hemophilia A mutation"
Rs28933677(C;T),3.5,Bad,"Carrier of a Hemophilia A mutation"
Rs28933679(A;G),2.5,,
Rs28933681(A;G),3.5,Bad,"Carrier of a Hemophilia A mutation"
Rs28933682(A;G),3.5,Bad,"Carrier of a Hemophilia A mutation"
Rs28935207(A;C),2.5,,
Rs28935208(G;T),2.5,,
Rs28935212(G;T),2.5,,
Rs28935213(C;T),2.5,,
Rs28936083(A;G),2.5,,
Rs28936968(C;T),2.5,,
Rs28936969(A;G),2.5,,
Rs28936970(C;T),2.5,,
Rs28937268(C;T),2.5,,
Rs28937269(A;G),2.5,,
Rs28937270(C;T),2.5,,
Rs28937272(A;G),3.5,Bad,"Carrier of a Hemophilia A mutation"
Rs28937274(C;T),2.5,,
Rs28937275(A;G),2.5,,
Rs28937276(A;G),2.5,,
Rs28937277(C;T),2.5,,
Rs28937279(A;G),2.5,,
Rs28937280(A;G),2.5,,
Rs28937281(A;G),2.5,,
Rs28937282(C;T),3.5,Bad,"Carrier of a Hemophilia A mutation"
Rs28937283(C;T),2.5,,
Rs28937285(A;G),3.5,Bad,"Carrier of a Hemophilia A mutation"
Rs28937287(G;T),3.5,Bad,"Carrier of a Hemophilia A mutation"
Rs28937289(A;G),3.5,Bad,"Carrier of a Hemophilia A mutation"
Rs28937290(A;G),2.5,,
Rs28937292(A;C),2.5,,
Rs28937293(C;T),2.5,,
Rs28937295(A;G),2.5,,
Rs28937296(G;T),2.5,,
Rs28937297(C;T),2.5,,
Rs28937298(C;T),2.5,,
Rs28937303(A;G),2.5,,
Rs28937304(C;T),2.5,,
Rs28937307(G;T),2.5,,
Rs28937308(A;G),2.5,,
Rs3135388(C;C),0,Good,normal
Rs3135388(T;T),2,Bad,"3-6x higher risk of multiple sclerosis"
Rs3135388(C;T),1.8,Bad,"3x higher risk of multiple sclerosis"
Rs1800255(G;G),0,Good,normal
Rs1800255(A;A),2.5,Bad,"increased risk for pelvic organ prolapse"
Rs12720461(C;C),0,Good,normal
Rs2069526(T;T),0,Good,normal
Rs28399424(C;C),0,Good,normal
Rs2470890(T;T),0,Good,normal
Rs2740574(A;A),0,Good,normal
Rs5030865(C;C),1,Good,normal
Rs5030655(-;-),3,,"CYP2D6*6 poor metabolizer phenotype"
Rs72558187(T;T),0,Good,normal
Rs72558189(G;G),0,Good,normal
Rs72558189(A;A),2.5,Bad,"CYP2C9*14 homozygote"
Rs6356(G;G),0,Good,"common in clinvar"
Rs1057909(A;A),0,Good,normal
Rs2017319(C;C),0,Good,normal
Rs2256871(T;T),0,Good,normal
Rs7900194(G;G),0,Good,normal
Rs9332130(A;A),0,Good,normal
Rs9332239(C;C),0,Good,normal
Rs1057911(A;A),0,Good,normal
Rs5030867(A;A),0,Good,normal
Rs5030865(A;A),2,,"CYP2D6*8 inactive type homozygote"
Rs5030862(G;G),0,Good,normal
Rs28371725(G;G),0,Good,normal
Rs16947(G;G),0,,normal
Rs4570625(T;T),0,,normal
Rs3762271(C;C),0,Good,"common in clinvar"
Rs5030655(T;T),0,Good,normal
Rs5030656(AAG;AAG),0,Good,normal
Rs5030656(-;AAG),2,,"carrier of one CYP2D6*9 allele"
Rs5030656(-;-),2,,"CYP2D6*9 homozygote"
Rs1385699(T;T),2,Bad,"increased risk of baldness"
Rs1385699(C;C),1.5,Good,"slightly less likely to go bald"
Rs1799945(C;C),0,Good,"Not a H63D hemochromatosis carrier."
Rs1799945(G;G),4,Bad,"Two copies of H63D, likely affected by mild form of hemochromatosis"
Rs1799945(C;G),3,Bad,"One copy of H63D, carrier of hemochromatosis, likely unaffected unless also C282Y carrier."
Rs9332131(A;A),0,Good,normal
Rs7181866(G;G),3,,
Rs12255372(T;T),2.2,Bad,"slight increases (~1.5x) in risk for type-2 diabetes and possibly breast cancer and aggressive prostate cancer"
Rs1799929(C;C),0,,
Rs3740066(G;G),0,Good,average
Rs3918290(G;G),0,Good,"common in complete genomics"
Rs1041983(C;C),0,Good,"common in clinvar"
Rs2287622(T;T),0,Good,normal
Rs1041988(T;T),0,Good,normal
Rs12721634(T;T),0,Good,normal
Rs28371759(T;T),0,Good,normal
Rs3091339(A;A),0,Good,normal
Rs3208361(A;A),0,Good,normal
Rs3208363(T;T),0,Good,normal
Rs3842(A;A),0,,
Rs4986908(G;G),0,Good,normal
Rs4986909(C;C),0,Good,normal
Rs4986910(T;T),0,Good,normal
Rs4986913(C;C),0,Good,normal
Rs4987161(T;T),0,Good,normal
Rs9934438(G;G),0,Good,"common in clinvar"
Rs2066853(G;G),0,,
Rs2267668(A;A),0,,
Rs4474514(A;A),1.8,Bad,">3x increased testicular cancer risk for men"
Rs4474514(G;G),1.2,Good,normal
Rs3782179(T;T),1.5,Bad,"common, but increased risk of testicular cancer"
Rs3782179(C;C),2.5,Good,"9x lower odds of testicular cancer"
Rs4324715(T;T),1,,"Normal risk of testicular cancer."
Rs4324715(C;C),1.2,Bad,">1.5x increased testicular cancer risk for men"
Rs6897876(C;C),1.2,Bad,"slight increase in testicular cancer risk for men"
Rs6897876(T;T),0,Good,normal
Rs3827760(T;T),0,Good,"common in clinvar"
Rs3827760(C;C),2,,"straighter, thicker hair, and increased odds of having shovel-shaped incisors"
Rs1333048(C;C),2.1,Bad,"1.5x increased coronary artery disease risk; 2x increased periodontitis risk"
Rs1333048(A;A),0,Good,normal
Rs12536657(G;G),0,Good,
Rs631090(T;T),0,,
Rs17501108(G;G),0,,
Rs16960620(A;A),0,Good,"common in complete genomics"
