,Magnitude,Repute,Summary
Rs1801253(G;G),0,Good,
Rs1801253(C;C),1.1,,"responds well to bucindolol; may also depend on rs1801252"
Rs17822931(C;C),2,,"Wet earwax. Normal body odour. Normal colostrum."
Rs17822931(T;T),2.5,Good,"Dry earwax. No body odour. Likely Asian ancestry. Reduced colostrum."
Rs16891982(C;C),1.1,Good,"generally non-European, but if European, 7x more likely to have black hair"
Rs16891982(G;G),1.1,,"Generally European; Light skin; Possibly an increased risk of melanoma"
Rs1426654(A;A),2.7,,"probably light-skinned, European ancestry"
Rs1426654(G;G),2.6,,"probably darker-skinned, Asian or African ancestry"
Rs351855(C;C),0,Good,normal
Rs351855(T;T),2.9,Bad,"2x increased prostate cancer risk; among breast cancer patients, herceptin is less effective"
Rs713598(G;G),1.1,Bad,"Possibly unable to taste bitter in some foods."
Rs713598(C;C),1.1,Good,"Can taste bitter."
Rs1726866(C;C),0.1,Good,"can taste bitter"
Rs1726866(T;T),1.1,,"possible unable to taste bitter"
Rs2227564(T;T),0,Good,"common in clinvar"
Rs4680(G;G),2.5,Good,"(warrior) multiple associations, see details"
Rs4680(A;A),2.5,Good,"(worrier) advantage in memory and attention tasks"
Rs2476601(A;A),3.2,Bad,"2x risk of rheumatoid arthritis and other autoimmune diseases"
Rs2476601(G;G),0,Good,"Normal risk for autoimmune disorders"
Rs3135506(G;G),0,Good,"common on affy axiom data"
Rs6265(G;G),0,Good,common/normal
Rs6265(A;A),2.6,Bad,"introversion; depression resistant; impaired motor skills learning; somewhat quicker mental decline in Alzheimer patients"
Rs4420638(G;G),3,Bad,"2x+ increased Alzheimer's risk, further genotyping suggested ; increased LDL cholesterol"
Rs237025(C;T),0,,
Rs7903146(T;T),3.5,Bad,"2x increased risk for Type-2 diabetes"
Rs429358(C;C),1.2,Bad,"one of 2 snps relevant to classifying APOE genotype"
Rs5082(C;C),2.5,,"saturated fat contributes to obesity, but 0.57 % lower risk for coronary artery disease"
Rs3816873(T;T),0,Good,None
Rs3816873(C;C),2.2,Good,"reduced risk of type-2 diabetes"
Rs3948464(T;T),0,Good,"common in clinvar"
Rs3948464(C;C),0,,
Rs5370(G;G),0,,common
Rs5370(T;T),1.2,Bad,"possibly lower HDL cholesterol in women"
Rs696217(G;G),0,Good,"common in clinvar"
Rs800292(C;C),2,Bad,"5% higher risk of Age related macular degeneration"
Rs800292(T;T),2,Good,"5% decreased risk of macular degeneration"
Rs7775(C;C),0,,
Rs7775(G;G),0,,
Rs1041981(A;A),2,Bad,"Higher myocardial infarction risk"
Rs11556045(A;A),0,Good,"common in clinvar"
Rs11556045(G;G),0,Good,"benign polymorphism"
Rs1800450(G;G),0,Good,"common in clinvar"
Rs1800450(A;A),1.6,Bad,"mannose binding deficiency but of low clinical importance"
Rs1801270(C;C),0,Good,"normal risk"
Rs2303067(G;G),0,,normal
Rs709932(G;G),0,Good,"common in clinvar"
Rs1045485(G;G),0,Good,common/normal
Rs1045485(C;C),2,Good,"Reduced Risk of Breast Cancer"
Rs1065852(C;C),0,Good,normal
Rs1065852(T;T),3.2,Bad,"Homozygous for CYP2D6 decreased or non-functioning variants; possibly less response to some drugs, including tamoxifen"
Rs2987983(C;C),2,Bad,"1.2x increased risk of prostate cancer"
Rs2987983(C;T),2,Bad,"1.2x increased risk of prostate cancer"
Rs2987983(T;T),0,,"normal risk"
Rs7412(C;C),1,,"part of APOE4 genoset evaluation"
Rs7412(T;T),1,,"part of APOE4 genoset evaluation"
Rs429358(T;T),0,Good,common
Rs324650(T;T),0.1,,
Rs662(A;A),2,Bad,"~2x higher risk of of coronary heart disease reported in some studies, but lower risk seen in other studies"
Rs662(G;G),1.3,,"Mixed; conflicting results reported related to stroke and CAD"
Rs854560(A;A),2,Bad,"higher risk for heart disease, diabetic retinopathy"
Rs12026(C;C),0,Good,"common in clinvar"
Rs1799864(G;G),0,Good,"common in clinvar"
Rs6025(A;A),7,Bad,"11.4x higher risk of thrombosis"
Rs6025(G;G),0,Good,"normal/common risk of thrombosis"
Rs2476601(A;G),2,Bad,"Increased Risk of Multiple Autoimmune Disorders"
Rs1061147(A;C),1,Good,"Normal 0.97x risk for Age Related Macular Degeneration."
Rs1061170(C;T),2.5,Bad,"2.5x risk for AMD; higher mortality among nonagenarians"
Rs4950928(G;C),2,Good,"Half the risk (maybe) of Asthma."
Rs7903146(C;T),2.1,Bad,"1.4x increased risk for diabetes (and perhaps colon cancer)."
Rs12255372(G;T),2,Bad,"1.3x increased type-2 diabetes risk"
Rs1219648(A;G),2,Bad,"1.20x risk for breast cancer"
Rs4430796(A;G),0,,"normal risk"
Rs1859962(G;T),0,Good,"normal risk"
Rs4633(C;T),2,Bad,"higher risk for endometrial cancer"
Rs175174(A;G),0,,
Rs16947(A;G),0.1,,"a common variant"
Rs4444903(A;G),2,Bad,"3.5x risk of hep-cancer in cirrhosis patients; higher glioma risk"
Rs16891982(C;G),2,,"if European, 7x more likely to have black hair"
Rs11556045(A;G),0,Good,"benign polymorphism"
Rs1799971(A;G),2.5,Bad,"stronger cravings for alcohol. if alcoholic, naltrexone treatment 2x more successful"
Rs324650(A;T),0.1,,
Rs1726866(C;T),0.1,,"can taste bitter"
Rs713598(C;G),1.1,Good,"Can taste bitter."
Rs6983267(G;T),2.7,Bad,"1.3x risk of prostate cancer; aspirin reduces risk of colorectal cancer"
Rs1333040(C;T),0,Bad,"1.24x increased myocardial infarction risk, ~1.24x increased intracranial aneurysm risk"
Rs2383206(A;G),2,Bad,"1.4x increased risk for heart disease"
Rs4950928(C;C),1.9,Bad,"Normal (higher) risk of Asthma."
Rs6602024(G;G),0,Good,normal
Rs806380(G;G),2.1,Good,"uncommon. lowest odds of cannabis dependence"
Rs908832(G;G),0,Good,normal
Rs2395029(T;T),0,Good,common
Rs3810682(G;G),0,Good,common
Rs28929768(T;T),0,Good,"common in clinvar"
Rs28999110(C;C),0,Good,"common in clinvar"
Rs28999111(C;C),0,Good,"common in clinvar"
Rs28999112(C;C),0,Good,"common in clinvar"
Rs28999114(A;A),0,Good,"common in clinvar"
Rs669(A;A),0,Good,normal
Rs669(G;G),2,Bad,"3.8x or higher increased risk for Alzheimers"
Rs661(G;G),0,Good,normal
Rs661(A;A),9,Bad,"early onset Alzheimer's disease"
Rs6647(T;T),0,Good,"Normal; two copies of Pi-M1V allele"
Rs6647(C;C),0,Good,"Normal; two copies of Pi-M1A allele"
Rs1303(T;T),0,Good,"common in clinvar"
Rs28929471(G;G),0,Good,"common in complete genomics"
Rs28929474(G;G),0,Good,"common in complete genomics"
Rs28929474(A;A),5.5,Bad,"Alpha-1 Antitrypsin Deficiency"
Rs17580(A;A),0,Good,"common in complete genomics"
Rs17580(T;T),2.5,Bad,"a slightly reduced functionality form of Alpha-1 Antitrypsin Deficiency"
Rs28931568(G;G),0,Good,"common in complete genomics"
Rs28931568(A;A),4,Bad,"high risk of emphysema due to Alpha 1-Antitrypsin Deficiency"
Rs28931569(T;T),0,Good,"common in complete genomics"
Rs28931569(C;C),4,,"high risk of emphysema"
Rs28931570(C;C),0,Good,"common in complete genomics"
Rs28929473(A;A),0,Good,"common in complete genomics"
Rs28929473(T;T),0,,
Rs28931572(T;T),0,Good,"common in complete genomics"
Rs28931572(A;A),0,,
Rs769455(C;C),0,Good,"common in clinvar"
Rs769452(T;T),0,Good,"common in clinvar"
Rs28931576(A;A),0,Good,"common in clinvar"
Rs28931578(G;G),0,Good,"common in clinvar"
Rs28931579(A;A),0,Good,"common in clinvar"
Rs28931580(A;A),0,Good,"common in clinvar"
Rs4987076(G;G),0,Good,"common in clinvar"
Rs28929478(G;G),0,Good,"common in clinvar"
Rs28929478(A;A),0,Good,"common on affy axiom data"
Rs28931581(C;C),0,Good,"common in clinvar"
Rs28931582(T;T),0,Good,"common in clinvar"
Rs28929479(T;T),0,Good,"common in clinvar"
Rs28931586(T;T),0,Good,"common in clinvar"
Rs1801252(A;A),0,Good,None
Rs1801252(G;G),3,,
Rs1042714(C;C),0,Good,normal
Rs1800888(C;C),0,Good,normal
Rs1800888(T;T),2.5,Bad,"increased risk of coronary artery disease"
Rs4994(T;T),0,Good,normal
Rs4994(C;C),2,Bad,"2x higher risk in certain women for cardiac events; associated with elite endurance performance in men"
Rs11276(G;G),0,Good,"common in clinvar"
Rs28362459(T;T),0,Good,"common in clinvar"
Rs8192466(C;C),0,Good,common
Rs8192466(T;T),4,,uncertain
Rs28897672(T;T),0,Good,normal
Rs4986852(G;G),0,Good,normal
Rs4986852(A;A),2,,"predisposition to breast cancer?"
Rs1800709(C;C),0,Good,normal
Rs1800709(T;T),2,,"predisposition to breast cancer?"
Rs28931588(G;G),0,Good,"common in complete genomics"
